Constituency_Name,State,EVM Votes Counted,EVM Votes Polled,Difference,Margin
Badaun,Uttar Pradesh,1090662,1091697,-1035,34991.0
Bagalkot,Karnataka,1311893,1312319,-426,68399.0
Baghpat,Uttar Pradesh,928628,928392,236,159459.0
Baharaich,Uttar Pradesh,1056179,1055818,361,64227.0
Baharampur,West Bengal,1380981,1382678,-1697,85022.0
BALAGHAT,Madhya Pradesh,1377188,1376207,981,174512.0
Balasore,Odisha,1235600,1234427,1173,147156.0
Ballia,Uttar Pradesh,1001968,1001317,651,43384.0
Balurghat,West Bengal,1233664,1235347,-1683,10386.0
Banaskantha,Gujarat,1365141,1365989,-848,30406.0
Banda,Uttar Pradesh,1042931,1043256,-325,71210.0
Bangalore central,Karnataka,1313862,1315612,-1750,32707.0
Bangalore North,Karnataka,1747729,1750372,-2643,259476.0
Bangalore Rural,Karnataka,1914024,1914030,-6,269647.0
Bangalore South,Karnataka,1245188,1245168,20,277083.0
Bangaon,West Bengal,1487892,1488209,-317,73693.0
Banka,Bihar,1011616,1011513,103,103844.0
Bankura,West Bengal,1437806,1437826,-20,32778.0
Bansgaon,Uttar Pradesh,941708,943007,-1299,3150.0
BANSWARA,Rajasthan,1625747,1625731,16,247054.0
Bapatla (SC),Andhra Pradesh,1282422,1287704,-5282,208031.0
Barabanki,Uttar Pradesh,1288381,1289258,-877,215704.0
Baramati,Maharashtra,1410674,1411621,-947,158333.0
BARAMULLA,Jammu & Kashmir,1026457,1027084,-627,204142.0
Barasat,West Bengal,1527533,1527620,-87,114189.0
Bardhaman-Durgapur,West Bengal,1493984,1494778,-794,137981.0
Bardhaman Purba,West Bengal,1492448,1492453,-5,160572.0
Bardoli,Gujarat,1324475,1327669,-3194,230253.0
Bareilly,Uttar Pradesh,1116465,1116749,-284,34804.0
Bargarh,Odisha,1300266,1302069,-1803,251667.0
BARMER,Rajasthan,1675314,1675276,38,118176.0
Barpeta,Assam,1675229,1676633,-1404,222351.0
Barrackpur,West Bengal,1137819,1137763,56,64438.0
Basirhat,West Bengal,1519128,1521154,-2026,333547.0
BASTAR,Chhattisgarh,1004596,1005392,-796,55245.0
Basti,Uttar Pradesh,1077422,1078313,-891,100994.0
Bathinda,Punjab,1145264,1145241,23,49656.0
Beed,Maharashtra,1518614,1519526,-912,6553.0
Begusarai,Bihar,1288395,1289076,-681,81480.0
Belgaum,Karnataka,1375285,1375283,2,178437.0
Bellary,Karnataka,1386559,1386553,6,98992.0
Berhampur,Odisha,1038806,1040924,-2118,165476.0
BETUL,Maharashtra,1393686,1393608,78,379761.0
Bhadohi,Uttar Pradesh,1081697,1081465,232,44072.0
Bhadrak,Odisha,1291183,1296802,-5619,91544.0
Bhagalpur,Bihar,1061614,1060982,632,104868.0
Bhandara Gondiya,Maharashtra,1224251,1224928,-677,37380.0
BHARATPUR,Rajasthan,1116850,1116742,108,51983.0
Bharuch,Gujarat,1192000,1191877,123,85696.0
Bhavnagar,Gujarat,1031533,1033629,-2096,455289.0
BHILWARA,Rajasthan,1296244,1296228,16,354606.0
BHIND,Madhya Pradesh,1043084,1044022,-938,64840.0
Bhiwandi,Maharashtra,1249338,1250090,-752,66121.0
BHIWANI- MAHENDRAGARH,Haryana,1171667,1172526,-859,41510.0
Bhongir,Telangana,1388579,1388680,-101,222170.0
BHOPAL,Madhya Pradesh,1494415,1498626,-4211,501499.0
Bhubaneswar,Odisha,1077476,1078810,-1334,35152.0
Bidar,Karnataka,1239406,1239358,48,128875.0
Bijapur,Karnataka,1289986,1290719,-733,77229.0
Bijnor,Uttar Pradesh,1020877,1020947,-70,37508.0
BIKANER,Rajasthan,1108423,1108418,5,55711.0
BILASPUR,Chhattisgarh,1358037,1361871,-3834,164558.0
Birbhum,West Bengal,1521048,1521023,25,197650.0
